代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	外盘	内外比	买量	卖量	未匹配量	流通股本(万)	
000538	云南白药	-1.60	57.10	-0.93	57.00	57.15	27301	5	-1.17	          0.26	58.09	58.75	56.70	58.03	    20.82	157371104	  1.24	中成药	云南	3.53	57.64	12750	14551	  0.88	86	32	--  	     104135.47	
000539	粤电力Ａ	-2.89	5.37	-0.16	5.37	5.38	59780	17	-1.28	          0.23	5.58	5.60	5.37	5.53	     8.01	32919540	  0.93	火力发电	广东	4.16	5.51	31311	28469	  1.10	1021	267	--  	     255390.92	
000540	中天城投	-4.67	6.13	-0.30	6.13	6.14	272326	6	-1.28	          0.69	6.47	6.54	6.13	6.43	    11.24	172318592	  1.38	区域地产	贵州	6.38	6.33	139894	132431	  1.06	211	2769	--  	     392023.13	
000541	佛山照明	-8.24	8.91	-0.80	8.92	8.95	90154	454	-1.21	          0.92	9.52	9.75	8.80	9.71	   115.76	82845128	  1.56	家用电器	广东	9.78	9.19	44898	45255	  0.99	16	71	--  	      97493.50	
000543	皖能电力	-5.43	5.75	-0.33	5.75	5.76	131502	30	-1.37	          0.75	6.15	6.17	5.75	6.08	     8.15	78391536	  1.40	火力发电	安徽	6.91	5.96	63156	68346	  0.92	376	589	--  	     174276.78	
000544	中原环保	-3.73	12.90	-0.50	12.88	12.90	16579	85	-0.69	          0.62	13.42	13.78	12.90	13.40	    31.26	21913808	  0.98	环境保护	河南	6.57	13.22	10413	6166	  1.69	10	72	--  	      26945.98	
000545	金浦钛业	-6.83	5.73	-0.42	5.73	5.74	200077	10	-1.54	          3.36	6.12	6.21	5.63	6.15	    44.84	117298664	  0.89	化工原料	吉林	9.43	5.86	101943	98134	  1.04	35	77	--  	      59607.80	
000546	金圆股份	-9.80	8.93	-0.97	8.93	8.94	72303	15	-1.43	          2.64	9.58	9.87	8.91	9.90	    24.19	66782416	  0.79	水泥	吉林	9.70	9.24	43416	28886	  1.50	265	91	--  	      27364.75	
000547	航天发展	-5.26	13.14	-0.73	13.12	13.13	123409	559	-1.05	          1.48	14.10	14.19	12.92	13.87	   110.11	168170896	  0.92	通信设备	福建	9.16	13.63	66535	56874	  1.17	20	6	--  	      83483.88	
000548	湖南投资	-5.09	6.71	-0.36	6.71	6.72	95186	82	-1.32	          1.91	6.88	7.12	6.71	7.07	   357.55	65775364	  0.91	路桥	湖南	5.80	6.91	53569	41617	  1.29	61	97	--  	      49920.10	
000550	江铃汽车	-6.31	23.90	-1.61	23.80	24.00	6126	10	-3.00	          0.12	25.48	25.60	23.90	25.51	    10.04	15273786	  0.68	汽车整车	江西	6.66	24.93	3388	2737	  1.24	4	253	--  	      51748.80	
000551	创元科技	-4.44	7.53	-0.35	7.53	7.54	58786	30	-0.79	          1.47	7.91	7.98	7.51	7.88	    70.89	45248200	  1.26	专用机械	江苏	5.96	7.70	34637	24148	  1.43	248	91	--  	      40008.03	
000552	靖远煤电	-1.73	6.81	-0.12	6.81	6.83	53304	8	-1.58	          1.51	6.95	7.11	6.77	6.93	    35.36	37106296	  0.94	煤炭开采	甘肃	4.91	6.96	25592	27711	  0.92	55	134	--  	      35412.51	
000553	沙隆达Ａ	--  	10.70	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.70	    32.40	0	  0.00	农药化肥	湖北	0.00	10.70	0	0	--  	0	0	--  	      36389.12	
000554	泰山石油	-9.04	7.65	-0.76	7.65	7.68	205219	5	-0.64	          5.66	8.49	8.55	7.58	8.41	   522.94	161934352	  1.76	石油贸易	山东	11.53	7.89	118672	86546	  1.37	704	5	--  	      36264.96	
000555	神州信息	-8.55	24.61	-2.30	24.60	24.61	113398	179	-1.28	          4.45	26.91	27.16	24.59	26.91	    93.93	290908672	  1.01	软件服务	深圳	9.55	25.65	63341	50056	  1.27	87	55	--  	      25486.38	
000557	*ST广夏	-5.00	5.13	-0.27	--  	5.13	61944	20	0.00	          0.93	5.22	5.32	5.13	5.40	 21962.56	32082172	  1.58	红黄药酒	宁夏	3.52	5.18	39296	22647	  1.74	0	5378	--  	      66800.49	
