EURUSD,60
symbol,period,date,k,d,ma5,close,datanum,signtype
EURGBPpro,1440,2016.04.29 00:00:00,17.56828193832606,10.11942630774794,0.7814246143632586,0.7821900000000001,100,26
EURGBPpro,10080,1970.01.01 00:00:00,0,0,0,0,1,0
EURGBPpro,43200,1970.01.01 00:00:00,0,0,0,0,1,0
EURHUFpro,1,2016.05.30 20:43:00,12.30769230769954,9.417201556616851,313.769083413977,313.773,100,21
EURHUFpro,5,2016.05.30 21:00:00,38.65213082259126,35.93261256175614,313.7658775798593,313.755,46,0
EURHUFpro,15,2016.05.30 20:45:00,21.61607875307667,0,313.8725929720832,313.775,16,0
EURHUFpro,30,2016.05.30 20:30:00,33.89830508474713,61.72901456800493,313.9278249849908,313.775,34,0
EURHUFpro,60,2016.05.30 20:00:00,0,0,0,313.775,5,0
EURHUFpro,240,2016.05.30 17:00:00,0,0,313.8582,313.775,6,0
EURHUFpro,1440,2016.02.08 00:00:00,14.84620794314679,13.44019572252841,310.6218411783167,310.735,100,96
EURHUFpro,10080,1970.01.01 00:00:00,0,0,0,0,2,0
EURHUFpro,43200,1970.01.01 00:00:00,0,0,0,0,1,0
EURJPYpro,1,2016.05.30 19:36:00,19.76744186047396,15.94152286929816,123.7449895597916,123.748,100,90
EURJPYpro,5,2016.05.30 21:00:00,51.4516129032294,38.54323795819453,123.8056726220818,123.811,45,0
EURJPYpro,15,2016.05.30 20:45:00,69.45876288660213,0,123.7948338618573,123.825,16,0
EURJPYpro,30,2016.05.30 20:30:00,0,0,123.7779856,123.825,9,0
EURJPYpro,60,2016.05.30 20:00:00,0,0,0,123.825,5,0
EURJPYpro,240,1970.01.01 00:00:00,0,0,0,0,2,0
EURJPYpro,1440,2016.05.28 00:00:00,19.13901539796166,25.48546365040433,122.813292445219,122.504,100,0
EURJPYpro,10080,2016.05.22 00:00:00,15.40091945787813,20.86733602231288,123.5761664073352,122.504,100,0
EURJPYpro,43200,2016.04.01 00:00:00,19.03288201160545,28.47606807230132,128.5769075089713,121.659,100,0
EURNOKpro,1,2016.05.30 21:05:00,64.57339692633897,55.49726716025454,9.29676003128859,9.2982,100,0
EURNOKpro,5,2016.05.30 21:00:00,43.75237853609474,31.02296173544431,9.297246541218776,9.297700000000001,46,0
EURNOKpro,15,2016.05.30 20:45:00,19.07324036455785,0,9.300071969837877,9.2948,16,0
EURNOKpro,30,2016.05.30 20:30:00,0,0,9.303391360000001,9.2948,9,0
EURNOKpro,60,2016.05.30 20:00:00,69.19848462338551,77.44354445145009,9.295185205724085,9.2948,100,0
EURNOKpro,240,1970.01.01 00:00:00,0,0,0,0,2,0
EURNOKpro,1440,2016.03.08 00:00:00,19.04434400995608,15.82969243933382,9.414148383946292,9.435269999999999,100,71
EURNOKpro,10080,2016.05.22 00:00:00,0,0,0,9.2555,3,0
EURNOKpro,43200,1970.01.01 00:00:00,0,0,0,0,1,0
EURNZDpro,1,2016.05.30 21:05:00,53.46820809249287,37.26793317931997,1.66175711461533,1.66206,100,0
EURNZDpro,5,2016.05.30 21:00:00,62.98200514139485,61.6812659114112,1.661716507337391,1.66181,45,0
EURNZDpro,15,2016.05.30 20:45:00,23.18692543411647,0,1.66192900950016,1.66184,16,0
EURNZDpro,30,2016.05.30 20:30:00,0,0,1.662104064,1.66184,9,0
EURNZDpro,60,2016.05.30 20:00:00,0,0,0,1.66184,5,0
EURNZDpro,240,1970.01.01 00:00:00,0,0,0,0,2,0
EURNZDpro,1440,2016.05.28 00:00:00,32.90163198083584,26.31284516665896,1.657360390151177,1.65907,100,0
EURNZDpro,10080,1970.01.01 00:00:00,0,0,0,0,1,0
EURNZDpro,43200,1970.01.01 00:00:00,0,0,0,0,1,0
EURPLNpro,1,2016.05.30 21:05:00,30.26315789473622,39.59965002597671,4.394782750678807,4.39495,100,0
EURPLNpro,5,2016.05.30 21:00:00,79.33740191806741,82.58304819532614,4.3947963994797,4.39475,47,0
EURPLNpro,15,2016.05.30 20:45:00,51.66034155598373,0,4.394643330182554,4.39545,16,0
EURPLNpro,30,2016.05.30 20:30:00,68.84933248569494,75.83788787609745,4.393955368257833,4.39545,34,0
EURPLNpro,60,2016.05.30 20:00:00,79.02133423636897,78.50982045405115,4.392448933106444,4.39545,100,0
EURPLNpro,240,1970.01.01 00:00:00,0,0,0,0,2,0
EURPLNpro,1440,2016.05.28 00:00:00,42.84199363732785,63.23246559667614,4.402696477659416,4.38245,100,0
EURPLNpro,10080,1970.01.01 00:00:00,0,0,0,0,2,0
